table_name,created_at,last_modified,schema_columns,total_rows,size_mb
claude_code_fuckup,2026-01-07 22:53:57.277+00,2026-01-07 22:53:57.277+00,8,1414,0.2
claude_gemini_audit,2026-01-07 01:08:40.239+00,2026-01-07 01:08:40.239+00,22,54,0.03
closed_projects_draft,2026-01-08 02:39:21.486+00,2026-01-08 02:39:21.486+00,50,257,0.09
emails_pending_fact_extraction,2026-01-05 03:07:11.247+00,2026-01-05 03:07:11.247+00,11,74251,30.66
extraction_quality_audit,2026-01-07 01:13:04.420+00,2026-01-07 01:13:04.420+00,5,36,0.0
facts_contaminated_quarantine,2026-01-06 21:30:37.674+00,2026-01-06 21:30:37.675+00,23,5970,2.81
facts_relink_map,2026-01-06 21:28:19.897+00,2026-01-06 21:28:19.898+00,4,4,0.0
gc_blacklist,2025-12-30 16:00:36.001+00,2025-12-30 16:00:36.001+00,2,6,0.0
gc_canonical,2026-01-06 05:07:08.539+00,2026-01-06 05:07:08.539+00,4,305,0.02
gc_companies,2026-01-08 02:45:34.382+00,2026-01-08 02:45:34.382+00,12,258,0.06
gc_companies_consolidated,2026-01-08 02:54:41.413+00,2026-01-08 02:54:41.413+00,13,236,0.04
gc_consolidation,2025-12-30 15:26:55.803+00,2025-12-30 15:40:46.181+00,2,52,0.0
gc_contacts,2026-01-08 02:55:23.180+00,2026-01-08 02:55:23.180+00,4,303,0.02
gc_contacts_normalized,2025-12-30 16:10:28.643+00,2025-12-30 16:10:28.643+00,6,2312,0.19
gc_manual_mapping,2026-01-06 05:09:29.460+00,2026-01-06 05:09:29.460+00,2,21,0.0
gcs_proposal_inventory,2025-12-24 05:52:30.382+00,2025-12-24 05:52:30.382+00,1,9887,0.96
gemini_chat_facts_normalized,2026-01-07 01:05:04.169+00,2026-01-07 01:05:04.170+00,15,5558,1.76
gemini_email_facts_normalized,2026-01-07 01:04:57.044+00,2026-01-07 01:04:57.045+00,15,81212,25.65
gemini_project_id_map,2026-01-07 01:04:31.970+00,2026-01-07 01:04:31.971+00,4,1167,0.1
gmail_messages_project_matched_v1,2026-01-05 14:44:47.207+00,2026-01-05 20:31:39.388+00,14,69496,40.66
hubspot_companies_current,2025-12-30 15:35:59.213+00,2025-12-30 15:35:59.214+00,2,69,0.0
hubspot_companies_export,2025-12-25 19:36:18.350+00,2025-12-25 19:36:18.351+00,7,379,0.03
hubspot_companies_synced,2025-12-30 15:11:43.342+00,2025-12-30 15:11:43.342+00,1,58,0.0
hubspot_contacts_export,2025-12-25 19:36:30.928+00,2025-12-25 19:36:30.929+00,8,2482,0.26
hubspot_contacts_export_v2,2025-12-25 19:38:22.935+00,2025-12-25 19:38:22.935+00,9,1402,0.18
lost_bids_draft,2026-01-08 02:39:33.263+00,2026-01-08 02:39:33.264+00,50,166,0.06
missing_proposals,2025-12-25 23:25:14.545+00,2025-12-25 23:25:14.545+00,1,72,0.0
missing_takeoff_mapping,2026-01-07 06:20:30.621+00,2026-01-07 06:20:30.621+00,2,28,0.0
new_project_chat_matches,2025-12-29 15:03:21.980+00,2025-12-29 15:03:21.980+00,8,2684,0.77
project_communication_summary,2026-01-01 14:51:32.825+00,2026-01-01 14:51:32.825+00,28,886,0.21
project_communications_classified,2025-12-26 08:15:41.053+00,2025-12-26 08:15:41.053+00,12,78645,28.21
project_email_timeline_v2,2026-01-05 01:57:22.180+00,2026-01-05 01:57:22.180+00,22,2175,0.55
project_lifecycle_summary,2026-01-01 14:50:21.526+00,2026-01-01 14:50:21.526+00,27,820,0.12
project_milestones_extracted,2026-01-01 14:49:34.057+00,2026-01-01 14:49:34.057+00,12,2828,0.4
project_name_matches_v2,2026-01-01 09:34:56.879+00,2026-01-01 09:34:56.879+00,6,1595,0.11
proposal_dates_extracted,2026-01-07 22:04:52.287+00,2026-01-07 22:04:52.287+00,6,2938,0.33
proposal_optional_items,2025-12-28 21:25:25.040+00,2025-12-28 21:25:25.040+00,6,293,0.02
proposal_sections_670_new,2025-12-29 08:44:21.449+00,2025-12-29 08:44:21.449+00,9,2731,0.46
proposal_sections_all,2025-12-29 08:46:07.614+00,2025-12-29 08:46:07.614+00,10,10330,2.18
proposal_sections_extracted,2025-12-28 23:04:17.799+00,2025-12-28 23:04:41.038+00,12,7609,4.27
proposal_totals_extracted,2026-01-04 22:21:18.698+00,2026-01-04 22:21:18.699+00,6,5859,0.94
sage_shipto,2026-01-05 22:48:37.850+00,2026-01-05 22:48:37.850+00,3,11023,0.51
scope_item_mapping,2026-01-07 06:34:00.143+00,2026-01-07 06:34:38.278+00,2,116,0.0
stg_bluebeam_combined,2026-01-01 06:28:11.977+00,2026-01-01 06:28:11.977+00,43,188,0.07
stg_bluebeam_raw,2026-01-01 06:14:56.553+00,2026-01-01 06:14:56.553+00,17,161,0.03
stg_chat_classified,2025-12-25 09:13:28.656+00,2025-12-25 09:13:28.657+00,10,5581,1.49
stg_chat_project_mentions,2025-12-25 09:00:23.806+00,2025-12-25 09:00:23.807+00,8,5581,1.37
stg_chat_space_projects,2025-12-24 20:12:04.292+00,2025-12-24 20:12:04.292+00,8,1800,0.21
stg_email_chat_correlation,2025-12-25 09:15:27.450+00,2025-12-25 09:15:27.450+00,8,19220,21.47
stg_email_classified,2025-12-25 09:12:57.975+00,2025-12-25 09:12:57.976+00,14,115888,53.59
stg_email_threads_v1,2025-12-24 16:15:10.402+00,2025-12-24 16:15:10.402+00,16,19140,6.71
stg_gc_email_contacts,2025-12-24 19:39:44.151+00,2025-12-24 19:39:44.152+00,11,2312,0.39
stg_gc_merge_mapping,2025-12-24 19:50:27.972+00,2025-12-30 15:29:03.158+00,2,457,0.02
stg_gmail_project_match_v6,2025-12-25 09:09:18.986+00,2025-12-25 09:09:18.987+00,11,228724,93.29
stg_project_aliases,2025-12-24 14:26:55.171+00,2025-12-25 09:05:16.823+00,3,59,0.0
stg_proposal_extractions_v2,2025-12-26 17:02:56.973+00,2025-12-26 17:50:43.810+00,13,4647,2.67
stg_proposal_keys_v2,2026-01-01 09:33:38.665+00,2026-01-01 09:33:38.665+00,7,14631,2.27
stg_proposal_sections_extracted,2025-12-26 00:28:35.598+00,2025-12-26 00:33:33.046+00,19,3810,2.72
stg_proposal_submissions,2025-12-25 09:31:04.320+00,2025-12-25 09:31:04.320+00,15,39946,18.46
stg_proposals_extracted,2025-12-25 22:11:17.932+00,2025-12-25 23:57:03.144+00,21,886,0.99
stg_takeoff_keys_v2,2026-01-01 09:34:18.519+00,2026-01-01 09:34:18.519+00,7,3687,0.48
stg_takeoff_line_items_v2,2025-12-23 23:59:17.056+00,2025-12-23 23:59:17.056+00,17,431001,125.84
stg_takeoff_sheets_v2,2025-12-24 00:01:48.024+00,2025-12-24 00:01:48.024+00,20,9635,3.38
stg_takeoff_workbooks_v2,2025-12-24 00:10:39.666+00,2025-12-24 04:08:53.984+00,9,2539,0.56
stg_thread_lifecycle,2025-12-24 16:17:50.731+00,2025-12-24 16:17:50.731+00,23,19140,3.35
