subject,first_email_date,email_count
Re: 34-20 Junction Blvd - Waterproofing Concrete sealer | Master Roofing,2025-06-05,18
Re: 540 Degraw Street Brookyln,2025-06-05,4
Re: 546 Saratoga Ave. - Roof/Stucco (Master),2025-06-05,2
Re: 558 Sackett St. - Pavers,2025-06-05,44
Re: 6014 Beach Channel - Front Facade Design,2025-06-05,6
Re: 926 East 23rd Street,2025-06-05,12
Re: Beach canopy,2025-06-05,8
Re: Bronx Park East Roofing,2025-06-05,26
Re: CP210309 - 565 WESTWOOD AVE - MASTER ROOFING AND SIDING COORDINATION,2025-06-05,4
Re: Delivery Status Notification (Failure),2025-06-05,6
Re: FG & Master Roofing - 2025 Violations - Hearing 3/14/25 1413 New York ave,2025-06-05,8
Re: FW: Request For Proposal EIFS Roofing | Astoria Cove Development,2025-06-05,12
Re: Fw: 148 Beach 116 Street; ECB Violation Issued by DOB,2025-06-05,2
Re: Hanover paver samples,2025-06-05,20
Re: Kent Spec.,2025-06-05,10
Re: MAY LAWN SERVICES + PALMS CLEANING INVOICE,2025-06-05,2
Re: Panel pricing for 1539 60th st - 1555 60th st,2025-06-05,8
Re: [External Sender] Court Square - Master Roofing - Proposal,2025-06-05,10
Revised Proposals,2025-06-05,2
💬 New comment on: 240 Willoughby st traf…,2025-06-05,4
💬 New comment on: 6014 Beach Channel Dr.,2025-06-05,2
📥 Tejaswini assigned you a task: 255 Avenue W [In House take off],2025-06-05,2
34-20 Junction- Detail at 2nd floor,2025-06-06,2
453 East 166th Street,2025-06-06,2
801 Bartholdi St,2025-06-06,2
A practical edge for teams aiming to stay ahead,2025-06-06,2
"Away Celebrating Eid Re: 24-11 Jackson ave & 23-14 45th Ave, Queens, NY 11101.",2025-06-06,2
"B Management = Open Balance = $2,644,180.60",2025-06-06,2
Beautiful Tefillah Books to Enhance Any Event,2025-06-06,2
Completed: IPE Wood Planks @ 32nd flr rof,2025-06-06,2
Engineer shortage dims power industry,2025-06-06,2
Friday - tasks assigned: 1 - masterroofingus.com,2025-06-06,2
"Hillmans, 600 River St, & 103 Fair Windows",2025-06-06,2
IPE Wood Planks @ 32nd flr rof,2025-06-06,2
"Next Day Positive Pay NY: 3 Exceptions totaling $27,742.92",2025-06-06,2
RE: 133 Kent Avenue,2025-06-06,22
RE: 453 East 166th Street,2025-06-06,2
RE: 619 Grove St. - RFP - 444 Units,2025-06-06,2
RE: 77 Commercial re: Planters,2025-06-06,12
RE: Crystal Lake Condos,2025-06-06,4
RE: Panel pricing for 1539 60th st - 1555 60th st,2025-06-06,6
Re: 1211 Fulton- Roofing RFP- Master Roofing,2025-06-06,6
Re: 133 Kent Ave - Pavers,2025-06-06,14
Re: 599 Ridge Hill Blvd,2025-06-06,4
Re: Crystal Lake Condos,2025-06-06,4
"Re: Master Roofing & Siding, Inc. - Laveena Athuru (SELECTED CAP '25)",2025-06-06,4
"Re: Master Roofing & Siding, Inc. - Sangram Ashok Pawar (SELECTED CAP '25)",2025-06-06,2
"Re: Master Roofing & Siding, Inc./ Bharat Shahaji Shinde (SELECTED CAP '25)",2025-06-06,2
Roofing Energy Inspections | 406 Remsen Avenue,2025-06-06,2
Stressed about the ----- show?,2025-06-06,2
Tej Kode <tkode@masterroofingus.com> messaged you on Google Chat while you were away,2025-06-06,2
The Amazon didn’t scare us. Coming home did.,2025-06-06,2
"מודעות ביהמ""ד זרע קודש קרית יואל נשא",2025-06-06,2
💬 New comment on: 1626 52nd St,2025-06-06,6
💬 New comment on: 453 E 166th St,2025-06-06,8
💬 New comment on: 619 Grove St.,2025-06-06,2
Albany Controls NYC's Housing Crisis — And Won't Let Go,2025-06-07,2
"Aron (Heshy), follow Kevin O'Leary - Strategic Partner at WonderTrust",2025-06-08,2
"Fun games and a sweepstakes, plus ways to earn Rewards points",2025-06-08,2
Mark Your Calendar: Waterdale’s Biggest Art Event Yet!,2025-06-08,2
"🔔 LAST CHANCE! Your $3,000 Shopping Spree",2025-06-08,2
111 - 115 Roof,2025-06-09,2
34-20 junction,2025-06-09,2
"Aron (Heshy), add Steven Dombrowski - Project Coordinator",2025-06-09,2
End-of-Year Gifts with Heart 💜,2025-06-09,2
FW: #21762 -- Aaron Hirsch / Master Roofing / Tax Audit / 2019-2022,2025-06-09,4
FW: Project: 430 Market,2025-06-09,2
Fw: Profiltec info,2025-06-09,2
Fwd: 77 Water - (Master Roofing) - Roofing and Pavers,2025-06-09,10
Fwd: 801 Bartholdi St - Roofing assembly letter,2025-06-09,2
Fwd: 926 E 23rd St,2025-06-09,2
Fwd: Invoice Legal Fee H-1B Registration - 5 Employees,2025-06-09,2
Fwd: List of Verifications for H1B Questionare,2025-06-09,2
Fwd: Recent updates to your documents,2025-06-09,2
Graduation!! CAMP!! SALE!!,2025-06-09,2
List of Verifications for H1B Questionare,2025-06-09,2
Monday - tasks assigned: 1 - masterroofingus.com,2025-06-09,6
MyCase Password Reset Instructions,2025-06-09,2
New activity: 1626 52nd St [Projects],2025-06-09,4
"Next Day Positive Pay NY: 7 Exceptions totaling $1,057,941.42",2025-06-09,2
Pricing,2025-06-09,2
Profiltec info,2025-06-09,2
RE: Re. Pricing for pavers (556 Baltic st.),2025-06-09,10
Re. Pricing for pavers (556 Baltic st.),2025-06-09,2
Re. Pricing for pavers (57 south 6th st.),2025-06-09,6
Re: 1405 Vyse Ave | Maser Roofing,2025-06-09,2
Re: 194 Bainbridge St - Panels,2025-06-09,6
"Re: 312 Elmwood Ave - Roofing, waterproofing & EIFS",2025-06-09,4
Re: 34-20 Junction Blvd,2025-06-09,6
Re: 34-20 junction,2025-06-09,8
Re: 453 East 166th Street,2025-06-09,2
Re: 77 Water,2025-06-09,2
Re: 801 Bartholdi St - Roofing assembly letter,2025-06-09,22
Re: 89-61 162nd Street - Roofing Shop Drawings,2025-06-09,8
Re: Fw: Profiltec info,2025-06-09,2
Re: INVITATION TO BID - 350-358 East 28th St,2025-06-09,2
Re: List of Verifications for H1B Questionare,2025-06-09,20
Re: Master Roofing/ Master RNS,2025-06-09,12
Re: Profiltec info,2025-06-09,6
Re: Re. Pricing for pavers (556 Baltic st.),2025-06-09,18
Re: Re. Pricing for pavers (57 south 6th st.),2025-06-09,12
Re: Roofing Energy Inspections | 406 Remsen Avenue,2025-06-09,8
Re: SL373 (Skyline373): 2892-2904 Nostrand Ave. (Mikerose) Project - Master Roofing & Siding Inc - Initial Non-Compliance Letter,2025-06-09,6
Re: Standard Waterproofing Detail,2025-06-09,4
Re: family office partners capital injection 2-15 million for Master Roofing and Siding,2025-06-09,4
Standard Waterproofing Detail,2025-06-09,2
The Funding Nexus May Insights,2025-06-09,2
Transportation Change Confirmation,2025-06-09,4
YOUR AD,2025-06-09,2
💬 New comment on: 1 Wythe,2025-06-09,2
💬 New comment on: 202 Tillary,2025-06-09,4
133 Kent Ave (Pavers),2025-06-10,4
19 Rockwell - 27th floor pavers,2025-06-10,2
19 Rockwell-Pavers,2025-06-10,2
2024 ALH CRUT Tax Return,2025-06-10,2
34-20 Junction Blvd: Nechemia Salamon has invited you to bill,2025-06-10,2
77 Waters,2025-06-10,4
"Aron, Secure Your Fleet For Less: 20% OFF for 3 Years on GPS & Dual-facing AI Dashcams!",2025-06-10,2
Avoid Welding Mistakes: Pro Tips for Sure-Flex® PVC,2025-06-10,2
"Completed: ""JM Peak Advantage Agreement for MASTER ROOFING""",2025-06-10,2
"DD Bids Upcoming Due Date - 187 Clinton St, Binghamton",2025-06-10,2
"Day, Week, or Month — Rent On Your Terms",2025-06-10,2
Explore Madrid with an Official Ticket Package!,2025-06-10,2
"FOR LEASE IN NEW ROCHELLE - 16,000 SF INDUSTRIAL FLEX BUILDING - AVAILABLE IMMEDIATELY!",2025-06-10,2
Fwd: 599 Ridge Hill Blvd,2025-06-10,2
Fwd: CP200915 - 15 PARKVILLE AVE - CONTRACT AWARD - MASTER ROOFING & SIDING,2025-06-10,4
"Fwd: DD Bids Upcoming Due Date - 187 Clinton St, Binghamton",2025-06-10,2
Fwd: Sol Neiman has shared a file with you using Dropbox,2025-06-10,2
NOW LIVE! The Waterdale Art Event,2025-06-10,2
"Next Day Positive Pay NY: 16 Exceptions totaling $347,988.00",2025-06-10,2
Notice of Addendum - Runnemede Multi-Family Conversion,2025-06-10,4
Out of Office Re: CP200915 - 15 PARKVILLE AVE - CONTRACT AWARD - MASTER ROOFING & SIDING,2025-06-10,2
RE: 111 - 115 Roof,2025-06-10,4
RE: 19 Rockwell-Pavers,2025-06-10,8
RE: 34-20 Junction- Detail at 2nd floor,2025-06-10,2
RE: 77 Waters,2025-06-10,24
RE: CP200915 - 15 PARKVILLE AVE - CONTRACT AWARD - MASTER ROOFING & SIDING,2025-06-10,6
RE: Revised Proposals,2025-06-10,4
Re:,2025-06-10,30
"Re: 1009"" 2nd Avenue- Online Project meeting request",2025-06-10,2
Re: 111 - 115 Roof,2025-06-10,4
Re: 133 Kent Ave (Pavers),2025-06-10,4
Re: 19 Rockwell - 27th floor pavers,2025-06-10,10
Re: 34-20 Junction- Detail at 2nd floor,2025-06-10,6
Re: 735 Myrtle Ave - Roofing/Stucco/Pavers,2025-06-10,12
Re: 77 Commercial re: Planters,2025-06-10,8
Re: 77 Waters,2025-06-10,22
"Re: B Management = Open Balance = $2,644,180.60",2025-06-10,4
Re: CP200915 - 15 PARKVILLE AVE - CONTRACT AWARD - MASTER ROOFING & SIDING,2025-06-10,6
Re: Emailing Inv_3885_from_Highrise_Expediters_3512.pdf,2025-06-10,6
Re: Projects discussed on 12/25/2024,2025-06-10,8
Re: Revised Proposals,2025-06-10,4
Re: Uptec SUPATRAY info,2025-06-10,12
Re: [usa] Re. Pricing for pavers (57 south 6th st.),2025-06-10,6
Requesting Metal Panel pricing for 1421-58th St.,2025-06-10,2
SUMMER ADVERTISING PROMOTION,2025-06-10,2
Short survey:  How are we doing?,2025-06-10,2
Think MASTER ROOFING & SIDING INC's internet is fast enough? Let's test it.,2025-06-10,2
Uptec SUPATRAY info,2025-06-10,2
Your invoice 166 from Mavriq,2025-06-10,2
💬 New comment on: 19 Rockwell,2025-06-10,2
💬 New comment on: 34-20 Junction -,2025-06-10,4
100 Lee Ave - Stucco & roofing,2025-06-11,2
1692 Weeks Ave - Roofing & Stucco,2025-06-11,2
3006 Williamsbridge  Roofing,2025-06-11,2
312 Elmwood Ave - CONTRACT AWARD - Roofing & waterproofing - MASTER ROOFING,2025-06-11,2
312 Elmwood Ave - COORDINATION - Roofing & waterproofing - MASTER ROOFING,2025-06-11,2
34-20 Junction,2025-06-11,2
55 Mangin Rd,2025-06-11,2
833rd Avenue Conversion Project – RFP Bid,2025-06-11,2
A new transaction was charged to your account,2025-06-11,28
"B Management = Open Balance = $2,574,180.60",2025-06-11,2
Bid Invite: 830 3rd Avenue Conversion Project,2025-06-11,6
Bid Reminder from CONSIGLI CONSTRUCTION for HHFT Breakneck Connector - West Side GMP,2025-06-11,2
Don't let scammers ruin your summer,2025-06-11,2
FDNY Permit Renewal - 453 E,2025-06-11,2
FW: [EXTERNAL] Re: 1410 New York Ave. Brooklyn,2025-06-11,2
"Final Inspection Completed for MASTER ROOFING & SIDING INC  (Project # 240 Willoughby St, Project Name:   4862200",2025-06-11,2
Fwd: 1692 Weeks Ave - Roofing & Stucco,2025-06-11,2
Fwd: 1726 49 - RFP - Master Roofing,2025-06-11,4
Fwd: 3006 Williamsbridge  Roofing,2025-06-11,2
Fwd: 34-20 Junction,2025-06-11,6
Fwd: 665 park,2025-06-11,2
Fwd: Fw: 1410 New York Ave. Brooklyn,2025-06-11,2
"Interim Inspection Completed for MASTER ROOFING & SIDING INC  (Project # 240 Willoughby St, Project Name:   4862200",2025-06-11,2
Last chance to RSVP: Reserve your spot at next week's expo,2025-06-11,2
Master Roofing 77,2025-06-11,2
Master Roofing: Payment from Emerest HomeCare,2025-06-11,2
Mazal Tov! New Jersey’s Backing Jack!,2025-06-11,2
"Next Day Positive Pay NY: 1 Exceptions totaling $9,300.00",2025-06-11,2
Promote your Q Score to Northeast GCs to get on their Preferred Vendor List,2025-06-11,2
RE: 2024 ALH CRUT Tax Return,2025-06-11,4
RE: 3006 Williamsbridge Roofing,2025-06-11,8
RE: 3100 Ocean Parkway - FINAL Scope of Repairs,2025-06-11,24
RE: 665 park,2025-06-11,2
RE: 833rd Avenue Conversion Project – RFP Bid,2025-06-11,2
RE: Master Roofing/ Master RNS,2025-06-11,4
RE: Requesting Metal Panel pricing for 1421-58th St.,2025-06-11,2
RFI Response - 830 3rd Avenue Conversion,2025-06-11,6
RFI Responses R1 - 830 3rd Avenue Conversion,2025-06-11,6
Re: 1 Wythe Ave - RFP - Bulkhead Extension - Master Roofing,2025-06-11,8
Re: 1692 Weeks Ave - Roofing & Stucco,2025-06-11,12
Re: 19 Rockwell-Pavers,2025-06-11,6
Re: 3006 Williamsbridge Roofing,2025-06-11,14
Re: 312 Elmwood Ave - CONTRACT AWARD - Roofing & waterproofing - MASTER ROOFING,2025-06-11,2
Re: 34-20 Junction,2025-06-11,6
Re: 350-358 East 28th - Roofing - Master Roofing,2025-06-11,10
Re: 665 park,2025-06-11,8
"Re: Galaxy = Open Balance Report = $2,811,479.34",2025-06-11,6
Re: Important Part in Job Flow,2025-06-11,6
Re: Master Roofing & Siding Inc - SL249: Skyline One Five Five LLC,2025-06-11,8
Re: Master Roofing: Payment from Emerest HomeCare,2025-06-11,2
Re: Sage,2025-06-11,2
"Re: Urgent: Completion of Questionnaires and Submission of Documentation- Master Roofing & Siding, Inc. Sangram Ashok Pawar, Laveena Athuru,Bharat Shahaji Shinde",2025-06-11,48
"Reinspection Completed for MASTER ROOFING & SIDING INC  (Project # 3100 Ocean Pkwy, Project Name:   4886576",2025-06-11,2
Reminder: There's Still Time to Register for FREE June E-Verify & Form I-9 Webinars!,2025-06-11,2
The CERAM-A-STAR® family of products are silicone-modified polyester coil coatings designed exclusively for the metal construction industry.,2025-06-11,2
"View/Print Warranty for MASTER ROOFING & SIDING INC (Project # 4862200, Project Name: 240 Willoughby St)",2025-06-11,2
"View/Print Warranty for MASTER ROOFING & SIDING INC (Project # 4886576, Project Name: 3100 Ocean Pkwy)",2025-06-11,2
Welcome to JMConnexus Portal,2025-06-11,2
[DO NOT REPLY] LCA Case Number: I-200-25162-082354 Received: 6/11/2025,2025-06-11,2
[DO NOT REPLY] LCA Case Number: I-200-25162-082372 Received: 6/11/2025,2025-06-11,2
[DO NOT REPLY] LCA Case Number: I-200-25162-082377 Received: 6/11/2025,2025-06-11,2
⏳ Just 24 Hours Left — Waterdale Art Event Ends Soon!,2025-06-11,2
💬 New comment added on a task assigned to you: 3100 ocean parkway -48…,2025-06-11,2
133 or 131 Kent Avenue,2025-06-12,2
170 West 225th Street: Freidy Weber has invited you to bill,2025-06-12,4
240 Willoughby,2025-06-12,2
2892 Nostrand Avenue_ Submittals,2025-06-12,2
410 40th St - Roofing,2025-06-12,2
55 Old Turnpike Road Roofing Proposal,2025-06-12,2
76 Pierrepont Street,2025-06-12,2
79 Maujer,2025-06-12,2
801 Bartholdi St Roofing System,2025-06-12,4
801 Bartholdi St Roofing System Approval Call,2025-06-12,2
"8915 4th Avenue Brooklyn, NY Roofing RFP",2025-06-12,2
92 Walton Street Proposal,2025-06-12,4
"Aron (Heshy), add Motty Weisberg - Business Owner 💬",2025-06-12,6
"Aron, Quick Question",2025-06-12,2
Automatic reply: 817 Classon - Roofing,2025-06-12,2
Bid Proposal - 830 3rd Avenue Conversion,2025-06-12,18
Big Change: No More Pennies,2025-06-12,2
Documents required for 11 West St,2025-06-12,8
Fwd: 410 40th St - Roofing,2025-06-12,2
Fwd: 55 Mangin Rd,2025-06-12,2
"Fwd: 8915 4th Avenue Brooklyn, NY Roofing RFP",2025-06-12,2
Fwd: Roofing Quote,2025-06-12,2
"Fwd: Skanska USA Building, Inc. - Subcontractor Prequalification - Master Roofing & Siding Inc.",2025-06-12,2
"Fwd: Urgent: Completion of Questionnaires and Submission of Documentation- Master Roofing & Siding, Inc. Sangram Ashok Pawar, Laveena Athuru,Bharat Shahaji Shinde",2025-06-12,4
